backend gmpy2  C_9: 60739 term orbits, 60739 with nonzero weight, free dim 8, jobs 50
  resuming from c9_orbit_values.json.ck2: 31250 term orbits already done
  31300/60739 term orbits, 421s
  31350/60739 term orbits, 701s
  31400/60739 term orbits, 993s
  31450/60739 term orbits, 1259s
  31500/60739 term orbits, 1535s
  31550/60739 term orbits, 1805s
  31600/60739 term orbits, 2074s
  31650/60739 term orbits, 2354s
  31700/60739 term orbits, 2540s
  31750/60739 term orbits, 2736s
  31800/60739 term orbits, 2899s
  31850/60739 term orbits, 3098s
  31900/60739 term orbits, 3357s
  31950/60739 term orbits, 3562s
  32000/60739 term orbits, 3789s
  32050/60739 term orbits, 4027s
  32100/60739 term orbits, 4245s
  32150/60739 term orbits, 4430s
  32200/60739 term orbits, 4621s
  32250/60739 term orbits, 4843s
  32300/60739 term orbits, 5033s
  32350/60739 term orbits, 5238s
  32400/60739 term orbits, 5510s
  32450/60739 term orbits, 5766s
  32500/60739 term orbits, 6024s
  32550/60739 term orbits, 6238s
  32600/60739 term orbits, 6464s
  32650/60739 term orbits, 6646s
  32700/60739 term orbits, 6932s
  32750/60739 term orbits, 7192s
  32800/60739 term orbits, 7457s
  32850/60739 term orbits, 7646s
  32900/60739 term orbits, 7859s
  32950/60739 term orbits, 8093s
  33000/60739 term orbits, 8296s
  33050/60739 term orbits, 8518s
  33100/60739 term orbits, 8750s
  33150/60739 term orbits, 8958s
  33200/60739 term orbits, 9194s
  33250/60739 term orbits, 9476s
  33300/60739 term orbits, 9728s
  33350/60739 term orbits, 9920s
  33400/60739 term orbits, 10173s
  33450/60739 term orbits, 10530s
  33500/60739 term orbits, 10823s
  33550/60739 term orbits, 11108s
  33600/60739 term orbits, 11397s
  33650/60739 term orbits, 11619s
  33700/60739 term orbits, 11977s
  33750/60739 term orbits, 12289s
  33800/60739 term orbits, 12555s
  33850/60739 term orbits, 12814s
  33900/60739 term orbits, 13091s
  33950/60739 term orbits, 13350s
  34000/60739 term orbits, 13574s
  34050/60739 term orbits, 13781s
  34100/60739 term orbits, 14058s
  34150/60739 term orbits, 14263s
  34200/60739 term orbits, 14510s
  34250/60739 term orbits, 14738s
  34300/60739 term orbits, 14976s
  34350/60739 term orbits, 15261s
  34400/60739 term orbits, 15480s
  34450/60739 term orbits, 15643s
  34500/60739 term orbits, 15884s
  34550/60739 term orbits, 16158s
  34600/60739 term orbits, 16384s
  34650/60739 term orbits, 16619s
  34700/60739 term orbits, 16888s
  34750/60739 term orbits, 17171s
  34800/60739 term orbits, 17417s
  34850/60739 term orbits, 17718s
  34900/60739 term orbits, 17993s
  34950/60739 term orbits, 18283s
  35000/60739 term orbits, 18580s
  35050/60739 term orbits, 18901s
  35100/60739 term orbits, 19136s
  35150/60739 term orbits, 19414s
  35200/60739 term orbits, 19713s
  35250/60739 term orbits, 19951s
  35300/60739 term orbits, 20192s
  35350/60739 term orbits, 20446s
  35400/60739 term orbits, 20672s
  35450/60739 term orbits, 20915s
  35500/60739 term orbits, 21237s
  35550/60739 term orbits, 21535s
  35600/60739 term orbits, 21867s
  35650/60739 term orbits, 22202s
  35700/60739 term orbits, 22506s
  35750/60739 term orbits, 22818s
  35800/60739 term orbits, 23092s
  35850/60739 term orbits, 23345s
  35900/60739 term orbits, 23584s
  35950/60739 term orbits, 23945s
  shard 2/3 complete: 35996 term orbits in c9_orbit_values.json.ck2
