backend cupy(dev1)  b=7: 4705 matrices  enum 2.2s
  50/4705  2s
  100/4705  3s
  150/4705  4s
  200/4705  5s
  250/4705  6s
  300/4705  8s
  350/4705  9s
  400/4705  10s
  450/4705  11s
  500/4705  13s
  550/4705  14s
  600/4705  15s
  650/4705  18s
  700/4705  23s
  750/4705  29s
  800/4705  34s
  850/4705  43s
  900/4705  50s
  950/4705  58s
  1000/4705  63s
  1050/4705  76s
  1100/4705  92s
  1150/4705  96s
  1200/4705  104s
  1250/4705  108s
  1300/4705  110s
  1350/4705  113s
  1400/4705  124s
  1450/4705  143s
  1500/4705  164s
  1550/4705  168s
  1600/4705  177s
  1650/4705  181s
  1700/4705  192s
  1750/4705  215s
  1800/4705  219s
  1850/4705  227s
  1900/4705  231s
  1950/4705  234s
  2000/4705  237s
  2050/4705  247s
  2100/4705  266s
  2150/4705  292s
  2200/4705  320s
  2250/4705  344s
  2300/4705  385s
  2350/4705  431s
  2400/4705  435s
  2450/4705  440s
  2500/4705  445s
  2550/4705  459s
  2600/4705  464s
  2650/4705  474s
  2700/4705  494s
  2750/4705  517s
  2800/4705  521s
  2850/4705  532s
  2900/4705  536s
  2950/4705  550s
  3000/4705  580s
  3050/4705  605s
  3100/4705  633s
  3150/4705  675s
  3200/4705  752s
  3250/4705  757s
  3300/4705  767s
  3350/4705  772s
  3400/4705  788s
  3450/4705  807s
  3500/4705  812s
  3550/4705  822s
  3600/4705  829s
  3650/4705  834s
  3700/4705  839s
  3750/4705  854s
  3800/4705  886s
  3850/4705  933s
  3900/4705  969s
  3950/4705  1013s
  4000/4705  1082s
  4050/4705  1162s
  4100/4705  1210s
  4150/4705  1253s
  4200/4705  1344s
  4250/4705  1405s
  4300/4705  1433s
  4350/4705  1481s
  4400/4705  1589s
  4450/4705  1627s
  4500/4705  1670s
  4550/4705  1719s
  4600/4705  1869s
  4650/4705  2054s
  4700/4705  2298s

b=7 shard 0/8: PASS  4705 matrices  2527.2s  (537 ms/matrix)  cupy(dev1)
backend cupy(dev1)  b=7: 4704 matrices  enum 2.1s
  50/4704  3s
  100/4704  5s
  150/4704  7s
  200/4704  9s
  250/4704  12s
  300/4704  14s
  350/4704  16s
  400/4704  18s
  450/4704  20s
  500/4704  22s
  550/4704  25s
  600/4704  27s
  650/4704  31s
  700/4704  38s
  750/4704  46s
  800/4704  53s
  850/4704  65s
  900/4704  74s
  950/4704  84s
  1000/4704  91s
  1050/4704  108s
  1100/4704  132s
  1150/4704  141s
  1200/4704  161s
  1250/4704  171s
  1300/4704  178s
  1350/4704  186s
  1400/4704  211s
  1450/4704  256s
  1500/4704  307s
  1550/4704  316s
  1600/4704  336s
  1650/4704  345s
  1700/4704  371s
  1750/4704  420s
  1800/4704  429s
  1850/4704  448s
  1900/4704  458s
  1950/4704  465s
  2000/4704  472s
  2050/4704  494s
  2100/4704  535s
  2150/4704  590s
  2200/4704  648s
  2250/4704  698s
  2300/4704  783s
  2350/4704  877s
  2400/4704  884s
  2450/4704  896s
  2500/4704  905s
  2550/4704  935s
  2600/4704  945s
  2650/4704  967s
  2700/4704  1008s
  2750/4704  1054s
  2800/4704  1064s
  2850/4704  1085s
  2900/4704  1095s
  2950/4704  1123s
  3000/4704  1184s
  3050/4704  1234s
  3100/4704  1290s
  3150/4704  1370s
  3200/4704  1532s
  3250/4704  1542s
  3300/4704  1561s
  3350/4704  1571s
  3400/4704  1601s
  3450/4704  1643s
  3500/4704  1653s
  3550/4704  1674s
  3600/4704  1685s
  3650/4704  1692s
  3700/4704  1700s
  3750/4704  1716s
  3800/4704  1727s
  3850/4704  1743s
  3900/4704  1755s
  3950/4704  1770s
  4000/4704  1794s
  4050/4704  1822s
  4100/4704  1838s
  4150/4704  1852s
  4200/4704  1882s
  4250/4704  1903s
  4300/4704  1912s
  4350/4704  1928s
  4400/4704  1963s
  4450/4704  1976s
  4500/4704  1990s
  4550/4704  2006s
  4600/4704  2056s
  4650/4704  2118s
  4700/4704  2199s

b=7 shard 1/8: PASS  4704 matrices  2220.8s  (472 ms/matrix)  cupy(dev1)
backend cupy(dev1)  b=7: 4704 matrices  enum 2.0s
  50/4704  1s
  100/4704  3s
  150/4704  4s
  200/4704  5s
  250/4704  6s
  300/4704  7s
  350/4704  9s
  400/4704  10s
  450/4704  11s
  500/4704  12s
  550/4704  14s
  600/4704  15s
  650/4704  17s
  700/4704  23s
  750/4704  28s
  800/4704  33s
  850/4704  42s
  900/4704  49s
  950/4704  57s
  1000/4704  62s
  1050/4704  75s
  1100/4704  91s
  1150/4704  95s
  1200/4704  103s
  1250/4704  107s
  1300/4704  110s
  1350/4704  112s
  1400/4704  123s
